title,text,subject,date
Menteri Sri Mulyani akan Jual Bali demi bayar utang,"Sri Mulyani : Jika rakyat mengijinkan daerah bali kita jual untuk bayar hutang. LINTAS POLITIK - JAKARTA - Menteri Keuangan (Menkeu) Sri Mulyani Indrawati mengatakan, tahun depan pemerintah masih akan berutang untuk membayar utang luat negeri dan jika rakyat mengijinkan wilayahbali kita jual untuk membayar utang.",News,"Juli 4, 2017"
Tarif Dasar Listrik Naik Lagi Awal Juli 2019,"Seperti sebuah artikel dari situs klikshare.info dan binpers.com yang diberi judul ""Awal Juli Tarif Dasar Listrik Kembali Naik?"" dan ""Tarif Dasar Listrik Naik Lagi Awal Juli 2019"".
Plt Kepala Biro Humas Kementerian Komunikasi dan Informatika, Ferdinandus Setu mengatakan, terkait artikel tersebut telah dibantah oleh Menteri Energi dan Sumber Daya Mineral (ESDM), Ignasius Jonan, bahwa kabar tersebut bohong alias hoaks. 
""Kabar yang mengatakan ada kenaikan Tarif Dasar Listrik (TDL) itu hoaks. Tidak benar yaa, sudah diklarifikasi pak Ignasius,"" kata Ferdinandus di Jakarta, Jum'at (21/6/2019).
Selain diklarifikasi Menteri Ignasius, Ferdinandus menjelaskan, setelah ditelusuri oleh Tim AIS Kementerian Kominfo, ternyata artikel tersebut sudah dimuat oleh situs republika.co.id dan sudah terbit sejak Selasa 13 Juni 2017.  
“Dalam artikel itu juga sudah jelas tertulis ""Tarif Dasar Listrik (TDL) kembali mengalami kenaikan per 1 Juli 2017, jadi bukan 2019. Itu berita lama yang sengaja dipelintir,"" ujarnya ",News,"Juli 5, 2019"
"Pembagian Uang Rp3 Juta dalam Rangka
Ulang Tahun BRI ke-130","Beredar pesan berantai di media sosial WhatsApp yang mengunggah informasi
pembagian uang Rp3 juta dalam rangka ulang tahun BRI ke-130.
Dilansir dari liputan6.com, klaim informasi pembagian uang Rp3 juta dalam rangka
ulang tahun BRI ke-130 adalah tidak benar. Faktanya, informasi hoaks serupa telah
ditemukan namun terdapat perbedaan besaran nominal, BRI memberikan
pernyataan resmi di Twitter, @kontakBRI yang sudah bercentang biru atau
terverifikasi. Di sana terdapat cuitan yang diunggah pada 27 September 2021.
""Sobat BRI, waspada website palsu hadiah ulang tahun BRI. Pastikan selalu
mengakses website resmi BRI https://bri.co.id dan tetap menjaga kerahasiaan data
pribadi."" Dalam website resmi BRI, bri.co.id juga dijelaskan bahwa usia Bank BRI
mencapai 126 tahun pada 16 Desember 2021.",News,"Juli 6, 2021"
Pesan Berantai Subsidi Listrik PT PLN (Persero) Sebesar Lima Juta Rupiah di Wilayah Lampung,"Telah beredar informasi berantai yang disebar melalui sosial media bahwa PT PLN (Persero) membagikan subsidi listrik sebesar lima juta rupiah dengan menyertakan sebuah tautan website yang diklaim sebagai cara untuk mendapatkan subsidi tersebut. Informasi berantai tersebut beredar di wilayah Lampung, Sumatra. 
Faktanya, informasi berantai mengenai subsidi listrik sebesar lima juta rupiah yang mencatut nama PT PLN (Persero) tersebut adalah tidak benar. Asisten Manajer Komunikasi dan Manajemen Stakeholder PLN UID Lampung Darma Saputra menegaskan bahwa informasi yang beredar di masyarakat yang berisi tentang PT PLN (Persero) akan membagikan subsidi dengan menyertakan tautan ke website tertentu adalah hoaks dan bukan broadcast resmi dari PT PLN (Persero).",News,"Juli 7, 2021"
"Awas Tipu-tipu! Lowongan Dokter Pribadi Kepala BNPB Dipastikan Hoax

","Badan Nasional Penanggulangan Bencana (BNPB) menegaskan pesan soal lowongan dokter pribadi Kepala BNPB adalah kabar bohong. Informasi tak benar ini banyak beredar di aplikasi pesan WhatsApp.
""BNPB mengkonfirmasi pengumuman 'Lowongan Dokter Pribadi Full Timer - Efektif Segera' tidak benar. BNPB tidak pernah membuat atau pun menyebarluaskan pengumuman tersebut,"" tutur Plt Kepala Pusat Data, Informasi dan Komunikasi Kebencanaan BNPB dalam keterangan tertulis, Selasa (8/3/2022).
",News,"Juli 8, 2022"
"[HOAKS] Informasi Lowongan Kerja PT Angkasa
Pura I (Persero) Tahun 2022","Beredar informasi lowongan kerja mengatasnamakan PT Angkasa Pura I (Persero).
Disebutkan bahwa lowongan kerja tersebut dibuka hingga 25 April 2022.
Dikutip dari medcom.id, klaim bahwa PT Angkasa Pura I (Persero) membuka lowongan
kerja hingga tanggal 25 April 2022 tersebut adalah tidak benar. Informasi tersebut
merupakan hoaks lama yang kembali beredar dengan sedikit modifikasi. Hingga saat ini
belum ada lowongan pekerjaan yang tersedia di PT Angkasa Pura I (Persero).",News,"Juli 9, 2022"
"PT Kimia Farma Bagi-bagi Smartphone
dengan Cara Mengisi Kuesioner","Telah beredar sebuah pesan berantai yang menyebutkan bahwa PT Kimia Farma
membagikan hadiah smartphone dengan cara mengisi kuesioner.
Faktanya, klaim yang mengatakan bahwa PT Kimia Farma membagikan
smartphone dengan cara mengisi sebuah link kuesioner adalah tidak benar.
Melalui laman Instagramnya @kimiafarma.ind membantah informasi yang beredar
tersebut dan meminta masyarakat agar berhati-hati dengan informasi serupa yang
mengatasnamakan PT Kimia Farma. ",News,"Juli 10, 2022"
Uang Pecahan 200 ribu Telah Beredar,Telah beredar postingan di Platform social media Facebook yang berisi Uang pecahan baru 200 ribu telah beredar serta menghebohkan masyarakat dan digambarkan seolah olah telah muncul dimasyarakat. Uang tersebut berwarna ungu gambarnya dengan lukisan dua orang joki yang sedang berkuda. Di pojok atas uang tersebut juga ada gambar kuda dan penunggangnya. Ditambah dengan tulisan ‘dua ratus ribu rupiah.,News,"Maret 8, 2019"
Surat Keputusan DPR: Resmi Honorer 35 Keatas Diangkat Tanpa Tes,"Beredar sebuah surat di media sosial dengan kop dari Dewan Perwakilan Rakyat Republik Indonesia (DPR RI). Surat tersebut menyatakan bahwa berdasarkan hasil keputusan rapat DPR dan BKN, diputuskan bahwa honorer K2 umur 35 keatas akan diangkat menjadi PNS tanpa mengikuti tes. Keputusan ini disebut “Rekomend” dari “Mempan RB” kepada BKN Pusat.",News,"Juni 25, 2019"
Anies Keluarkan Aturan Gaji Tambahan untuk Gubernur dan Wakil Gubernur,"Beredar berita mengenai Anies mengeluarkan 9 poin keputusan Gubernur DKI. Salah satu isi dari 9 poin isi tersebut adalah memberikan tambahan penghasilan kepada gubernur dan wakil gubernur.Mengenai kabar tersebut dilansir dari kompas.com Kepala Badan Kepegawaian Daearah (BKD) DKI Jakarta Chaidir membantah terbitnya keputusan gubernur Nomor 879 Tahun 2019 yang berisi menambah penghasilan untuk Gubernur dan Wakil Gubernur. Chaidir melanjutkan, aturan tersebut untuk menetapkan THR dan penghasilan tambahan  bagi pegawai Badan Pajak dan Retribusi Daerah. Aturan tersebut berlaku ketika pajak mencapai target, ""jadi sebagai jasa prestasi dan kebetulan kemarin berbarengan dengan tunjangan hari raya"" jelas Chaidir.",News,"Juni 26, 2019"
