title,text,subject,date
"Antisipasi Kepadatan Mudik Lebaran, BUMN Distribusikan Pupuk Lebih Awal

","PT Pupuk Indonesia (Persero) akan melakukan distribusi pupuk lebih awal ke berbagai daerah sebagai antisipasi kepadatan mudik Lebaran. SVP Distribusi Pupuk Indonesia Syamsu Alamsah mengatakan pihaknya juga akan melakukan pengiriman pupuk untuk stok melalui jalur non-tol.
Agenda pengiriman stok pupuk lebih awal dilakukan karena biasanya pada musim lebaran, kerap terjadi kepadatan lalu lintas, kebijakan satu arah dan ganjil genap pada saat arus mudik Lebaran.
Lebih lanjut, Syamsu menerangkan, pengiriman stok pupuk melalui jalur non-tol juga dilakukan untuk pengiriman pupuk stok Lebaran dan setelahnya.

",Economy,"April 20, 2022"
Pengusaha Minyak Goreng Ketar-ketir Usai Kasus Korupsi Ekspor CPO,"Sahat mengaku menyarankan anggotanya untuk tetap memasok minyak goreng curah bersubsidi. Pasalnya, mereka sudah tercatat di Sistem Informasi Industri Nasional (SIINAS) dan Sistem Informasi Minyak Goreng Curah (SIMIRAH).
""Mereka saya minta tidak perlu takut, asalkan berjalan sesuai regulasi dan aturan pemerintah. Dan, kalau tak ikut nanti kita bisa dicap menjalankan boikot terhadap program minyak goreng curah bersubsidi ini,"" katanya.
Terlebih, lanjutnya, saat ini sebagian besar masyarakat tengah menjalankan ibadah puasa dan akan merayakan Lebaran. Dengan begitu, ia meminta kepada pelaku usaha minyak goreng untuk tidak terganggu dengan kasus tersebut.
Gimni juga menyerahkan seluruh persoalan hukum yang tengah menimpa anggotanya kepada Kejaksaan Agung. ""Gimni akan kooperatif dan memberikan perhatian penuh atas kasus ini,""",Economy,"April 20, 2022"
"Saham dan Jumlah Pelanggan Anjlok, Netflix Bakal Pasang Iklan untuk Kerek Pendapatan
",Hal tersebut merupakan imbas dari menurunnya jumlah pelanggan Netlix hingga 200.000 pelanggan pada kuartal pertama tahun ini.,Economy,"April 20, 2022"
Menperin: Kasus Ekspor Minyak Sawit Tak Berkaitan dengan Minyak Goreng Curah Subsidi,"Menteri Perindustrian (Menperin), Agus Gumiwang Kartasasmita mengimbau agar industri tenang dan terus memperkuat Program Minyak Goreng Curah (MGC) bersubsidi. Sebab, kasus terkait ekspor minyak goreng sawit yang tengah ditangani Kejaksaan Agung merupakan proses penegakan hukum.
Dalam pengawasan program tersebut, Kementerian Perindustrian (Kemenperin) bekerja sama dengan Polri menegakkan aturan-aturan yang sudah ditetapkan. Selain itu Kemenperin melibatkan pemerintah daerah dan masyarakat. Pihaknya terus mendukung upaya produsen dan distributor dalam mempercepat distribusi, serta berharap semua pihak tetap tenang dan menjalankan program dengan baik.
",Economy,"April 20, 2022"
Belanja Subsidi BBM dan LPG Melonjak Dua Kali Lipat pada Januari-Maret,"Menteri Keuangan Sri Mulyani mengungkapkan realisasi belanja pemerintah untuk subsidi bahan bakar minyak (BBM) dan LPG naik dua kali lipat pada Januari-Maret 2022 dibanding Januari-Maret 2021. Tercatat, realisasi belanja BBM naik dari Rp1,3 triliun menjadi Rp3,2 triliun.
Sementara LPG naik dari Rp10,2 triliun menjadi Rp21,6 triliun.
Kenaikan volume BBM dan LPG seiring dengan meningkatnya aktivitas masyarakat. Kenaikan harga komoditas berdampak terhadap meningkatnya beban subsidi dan kompensasi,"" jelasnya.
Tercatat, realisasi volume penyaluran BBM jenis solar dan minyak tanah mencapai 2,66 juta kiloliter sepanjang Januari-Februari 2022. Jumlahnya naik 2,29 juta kl pada periode yang sama tahun lalu.Sementara volume penyaluran LPG mencapai 1,21 miliar kg. Padahal, sebelumnya sebanyak 1,16 miliar kg.
Kendati begitu, realisasi volume belanja subsidi listrik justru turun dari 11,6 TwH menjadi 98 TwH. Tapi, jumlah pelanggan yang mendapat subsidi meningkat dari 37,3 juta menjadi 38,3 juta pelanggan.",Economy,"April 20, 2022"
"BI Pertahankan Suku Bunga Acuan di Tengah Normalisasi Kebijakan Global, Apakah Tepat
","Selain itu pergerakan nilai tukar rupiah dinilai relatif stabil, disebabkan oleh porsi kepemilikan asing di pasar uang yang relatif lebih rendah dibanding beberapa tahun terakhir.
",Economy,"April 20, 2022"
Harga Minyak Dunia Terperosok Sampai 5 Persen Akibat Ramalan IMF,"Harga minyak juga merosot meski produksi OPEC+ lebih rendah di bawah targetnya pada Maret. Saat ini OPEC+ hanya menghasilkan 1,45 juta barel per hari.
Penurunan itu terjadi karena produksi minyak dari RUsia mulai menurun menyusul sanksi yang dikenakan oleh Barat atas invasinya ke Ukraina. Negeri Beruang Merah memproduksi sekitar 300 ribu barel per hari di bawah targetnya pada Maret yang sebesar 10,018 juta barel per hari.
Oleh karena itu, OPEC+ yang mengelompokkan OPEC dan sekutunya yang dipimpin oleh Rusia, bulan lalu menyetujui peningkatan produksi minyak bulanan sebesar 432 ribu barel per hari pada Mei mendatang.
Sebelumnya, IMF menurunkan perkiraannya untuk pertumbuhan ekonomi global hampir satu poin persentase penuh. Mereka mengatakan ketegangan geopolitik Rusia-Ukraina membuat ancaman inflasi semakin nyata dan berbahaya bagi banyak negara termasuk ekonomi global.
Proyeksi IMF itu meningkatkan kekhawatiran pasar atas prospek penurunan permintaan minyak sehingga membuat harganya tertekan.",Economy,"April 20, 2022"
"Harga Batu Bara Melonjak, PLN Klaim Pasokan buat Pembangkit Aman

","PT PLN (Persero) memastikan pasokan batu bara untuk pembangkit listriknya dalam kondisi aman, meski harga komoditas tersebut secara global melonjak.
Direktur Utama PLN Darmawan Prasodjo mengatakan pasokan batu bara yang sempat mengalami krisis kini sudah dalam kondisi aman.
""Pasokan batu bara aman walaupun harga Internasional naik terus, tapi kami terus lakukan monitoring day to day. Rata-rata stok batu bara kami yang sempat mengalami krisis, saat ini di atas 21 hari, pasokan aman"" kata Darmawan di PLTU Suralaya, Banten, Rabu (20/4/2022).

",Economy,"April 20, 2022"
"Jokowi Larang Belanja Barang Jasa Rp1.062 T Dihabiskan untuk Impor

","Presiden Joko Widodo (Jokowi) meminta belanja barang dan jasa di tingkat pemerintah pusat dan daerah yang berpagu Rp1.062 triliun mengutamakan barang produksi lokal, bukan impor.
""Ini angka yang besar sekali. Jangan sampai sekali lagi, angka yang besar ini dibelanjakan untuk barang impor. Arahkan semuanya pembelian ke produk-produk dalam negeri,"" ucap Jokowi di acara Musyawarah Perencanaan Pembangunan Nasional di Istana Negara, Kamis (28/4).
Alasannya, kepala negara ingin belanja yang dilakukan pemerintah pusat dan daerah menggerakkan roda industri di dalam negeri. Dengan begitu, pergerakan ekonomi juga bisa dirasakan oleh masyarakat,Apalagi, pagu belanja barang dan jasa ini tidak kecil. Pagunya terdiri dari belanja barang dan jasa pemerintah pusat sebesar Rp526 triliun dan pemerintah daerah Rp535 triliun.""Artinya total sudah Rp1.062 triliun, plus BUMN Rp420 triliun lagi. Ini angka yang besar sekali,"" imbuhnya.
Kendati begitu, mantan gubernur DKI Jakarta itu ingin agar para jajaran menteri dan kepala daerah juga mengembangkan kapasitas produksi di dalam negeri, sehingga bisa melayani seluruh permintaan barang dan jasa pemerintah.
Baca artikel CNN Indonesia ""Jokowi Larang Belanja Barang Jasa Rp1.062 T Dihabiskan untuk Impor"" selengkapnya di sini: https://www.cnnindonesia.com/ekonomi/20220428151601-532-791033/jokowi-larang-belanja-barang-jasa-rp1062-t-dihabiskan-untuk-impor.
",Economy,"April 28, 2022"
Harga Sawit Anjlok 70 Persen Usai Jokowi Larang Ekspor Minyak Goreng,"Serikat Petani Indonesia (SPI) menyebut harga Tandan Buah Segar (TBS) sawit turun hingga 70 persen usai Jokowi melarang ekspor bahan baku minyak goreng dan minyak goreng pada Kamis (28/4) lalu.Ketua Umum SPI Henry Saragih mengatakan penurunan harga itu telah memberi dampak besar bagi petani sawit. Hal itu dikarenakan, banyak Pabrik Kelapa Sawit (PKS) yang telah melanggar ketentuan dalam perjanjian harga TBS.
Henry mengatakan penentuan harga TBS seharusnya tidak dapat dilakukan secara sepihak oleh PKS tanpa melalui persetujuan kepala daerah.""Setelah pengumuman kemarin, otomatis langsung drop standar harga TBS. Umumnya jatuh antara 30 persen sampai 50 persen, bahkan ada yang 70 persen,"" ujarnya kepada CNNIndonesia.com, Sabtu (30/4).
Padahal menurut Henry, sebelumnya harga TBS di pasaran sudah sempat mencapai angka Rp3.000 per kilogram. Akibatnya, kata dia, harga TBS di sejumlah daerah anjlok menjadi Rp1.000-Rp2.000 per kilogram.
Bahkan di beberapa tempat, ia mengatakan terdapat pula petani yang tidak bisa menjual sawit mentah lantaran para pengepul tidak ada yang mau membeli.""Karena alasan mereka CPO tidak bisa diekspor lagi. Jadinya mereka membeli TBS kita ya dengan harga murah, bahkan di tempat lain ada yang tidak bisa dijual atau dikembalikan,"" tuturnya.
Karenanya, ia meminta agar para pengusaha dan korporasi sawit untuk dapat patuh terhadap peraturan yang dikeluarkan oleh pemerintah mengenai standar pembelian TBS dari petani.
Henry juga mendorong agar pemerintah dapat menindak tegas mereka-mereka yang tidak membayar harga TBS sesuai dengan yang diberlakukan tiap-tiap daerah, ""Jika PKS tidak bisa, tidak mau, harus diberikan sanksi sesuai dengan Permentan No.1/2018, yang merujuk pada UU Nomor 19 tahun 2013 tentang Perlindungan dan pemberdayaan Petani (Perlintan) dan kebijakan lainnya yang melindungi harga produksi petani,"" jelasnya.
""Karena penurunannya terasa sekali dari yang kemarin di angka Rp3.000 per kilo. Sementara saat ini harga-harga sedang naik. Apalagi menjelang lebaran,"" sambungnya.
Sementara itu, Yayasan Wahana Lingkungan Hidup Indonesia (WALHI) mengungkapkan lahan perkebunan kelapa sawit di Indonesia mayoritas dikuasai oleh swasta memang membuat posisi petani dalam menentukan harga lemah.
Saat ini, 60 persen dari total 14,9 juta hektare lahan sawit atau sekitar 9 juta hektare dikuasai swasta. Sementara, hanya 5 juta hektare yang dimiliki dimiliki oleh 2,74 Kepala Keluarga (KK) petani.
Manager Kampanye Hutan dan Eksekutif Nasional Walhi Uli Arta Siagan mengungkapkan fenomena ini menjadikan petani sawit sebagai korban.""Bukan hanya menguasai lahan, para pengusaha juga menguasai pabrik-pabrik CPO hingga produk-produk turunannya. Artinya hulu dan hilir sawit dikuasai oleh para pengusaha, yang hanya beberapa grup saja,"" papar Uli melalui keterangan tertulis, Sabtu (30/4).Menurut Uli, selama ini pengusaha sawit yang dominan memonopoli industri perkebunan sawit. Ia pun menyebut yang dibutuhkan untuk perbaikan adalah tata kelola sawit.
""Ekspor atau tidak diekspornya CPO dan produk turunannya, intervensi para pengusaha lah yang paling dominan. Petani sawit hanya akan menjadi korban dari praktik monopoli ini. Indonesia memerlukan perbaikan tata kelola sawit secara menyeluruh,"" kata Uli.
Jokowi memberlakukan larangan ekspor bahan minyak goreng dan minyak goreng pekan ini. Larangan diberlakukan supaya harga minyak goreng yang saat ini melesat jadi Rp24 ribu per liter, bisa ditekan jadi Rp14 ribu lagi.
Baca artikel CNN Indonesia ""Harga Sawit Anjlok 70 Persen Usai Jokowi Larang Ekspor Minyak Goreng"" selengkapnya di sini: https://www.cnnindonesia.com/ekonomi/20220430173819-92-791823/harga-sawit-anjlok-70-persen-usai-jokowi-larang-ekspor-minyak-goreng.
.
",Economy,"April 30, 2022"
